N, batch_size, limit, model_type, emb_size, num_layers, model_on_gpu, ratio_data, eval_gnn, eval_qor, total_items, time_spent, items_per_sec
3, 4, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 127312, 372.8419725894928, 341.4637014062076
3, 8, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 127312, 574.4121186733246, 221.63877791095828
3, 8, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 127312, 189.25501346588135, 672.7008054819728
3, 16, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 127312, 213.84556937217712, 595.3455120616786
3, 16, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 127312, 95.92044067382812, 1327.2666295697811
3, 32, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 127328, 135.5566601753235, 939.297263854975
3, 32, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 127328, 48.52925491333008, 2623.7369649997527
3, 64, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 127360, 74.38714814186096, 1712.1237092880142
3, 64, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 127360, 24.338531017303467, 5232.854846886752
3, 128, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 127360, 61.80126953125, 2060.7990898245225
3, 128, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 127360, 12.389116525650024, 10279.990484900032
3, 256, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 127488, 53.019068002700806, 2404.5688617820615
3, 256, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 127488, 7.249807596206665, 17585.01840334437
4, 1, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 64266, 789.3979544639587, 81.4114093361692
4, 1, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 64266, 749.3764283657074, 85.75930275810222
4, 2, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 64266, 726.2686543464661, 88.48791644165044
4, 2, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 64266, 376.3607699871063, 170.75637294025537
4, 4, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 64268, 333.7816598415375, 192.54503087590604
4, 4, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 64268, 190.570650100708, 337.2397584100031
4, 8, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 64272, 261.2113208770752, 246.05365412261781
4, 8, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 64272, 95.97492265701294, 669.6749340417792
4, 16, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 64272, 188.0442922115326, 341.79181534369513
4, 16, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 64272, 48.67137002944946, 1320.5299123717107
4, 32, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 64288, 74.71106481552124, 860.488338089436
4, 32, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 64288, 24.16667628288269, 2660.1920449249087
4, 64, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 64320, 52.07413601875305, 1235.1621153510246
4, 64, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 64320, 12.316247940063477, 5222.369695138543
4, 128, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 64384, 47.96951985359192, 1342.1856252992905
4, 128, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 64384, 6.442519903182983, 9993.60513705057
4, 256, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 64512, 47.73549556732178, 1351.4471617670372
4, 256, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 64512, 5.9566428661346436, 10830.261516393852
5, 1, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 41207, 542.13374376297, 76.00891933783852
5, 1, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 41207, 485.1534056663513, 84.93602130526688
5, 2, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 41208, 410.7022969722748, 100.33545052897969
5, 2, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 41208, 245.45881819725037, 167.88152205183889
5, 4, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 41208, 257.099404335022, 160.28041802190464
5, 4, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 41208, 122.14523410797119, 337.3688732183679
5, 8, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 41208, 207.25856161117554, 198.824114572925
5, 8, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 41208, 61.08157825469971, 674.638756519514
5, 16, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 41216, 100.29661917686462, 410.9410699808242
5, 16, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 41216, 31.770005702972412, 1297.3242871071886
5, 32, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 41216, 57.48633933067322, 716.970335559499
5, 32, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 41216, 15.858851432800293, 2598.927177964126
5, 64, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 41216, 46.42632746696472, 887.7721381112431
5, 64, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 41216, 7.952695846557617, 5182.645079761305
5, 128, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 41216, 46.50324082374573, 886.3038203340459
5, 128, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 41216, 5.810520648956299, 7093.3402512567145
5, 256, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 41216, 47.512404441833496, 867.4787244341255
5, 256, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 41216, 6.218577146530151, 6627.882717994059
6, 1, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 19379, 422.6485722064972, 45.85133199156255
6, 1, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 19379, 230.53974318504333, 84.059259077275
6, 2, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 19380, 295.25124073028564, 65.63901290326426
6, 2, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 19380, 114.41879296302795, 169.3777700159994
6, 4, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 19380, 166.19026803970337, 116.6133265719871
6, 4, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 19380, 58.94502830505371, 328.7809092177234
6, 8, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 19384, 113.4509539604187, 170.85797274796633
6, 8, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 19384, 29.34810996055603, 660.48546315426
6, 16, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 19392, 45.5314576625824, 425.9033423376709
6, 16, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 19392, 15.073471546173096, 1286.4985972606494
6, 32, 1000, graph_sage_class_reg, 64, 20, False, 0.3, True, False, 19392, 33.89671564102173, 572.0908245320336
6, 32, 1000, graph_sage_class_reg, 64, 20, True, 0.3, True, False, 19392, 7.465104103088379, 2597.6864799483988
